Station Name,Date,Time,SO2,Data Cap. (SO2),SO2 Avg,NO2,Data Cap. (NO2),NO2 Avg,O3,Data Cap. (O3),O3 8H Avg.,Daily Capture O3,O3 Daily Average,O3 Daily Average (NS),CO,Data Cap. (CO),CO 8H Avg.,Daily Capture CO,CO Daily Average,PM10,Data Cap. (PM10),PM10 Avg,PM2.5,Data Cap. (PM2.5),PM2.5 Avg,Lower Ambient Temperature,Upper Ambient Temperature,Barometric Pressure,Relative Humidity,Wind Direction,Wind Speed,H2S,Toluene,O-Xylene,Ethylbenzene,MP-Xylene,Benzene,CH4,NMHC,THC,Noise,Solar Radiation,Atm P.,DATA COUNT
Baniyas School,04/01/2023,14:00:00,5.56,,5.34,11.39,,63.48,107.85,,55.43,,,,,,,,,63.9,,61.9,20.3,,19.18,29.18,27.56,1015.7,30.86,172.64,1.79,4.17,,,,,,,,,57.11,,,
Baniyas School,04/01/2023,15:00:00,5.26,,5.34,10.03,,63.48,112.75,,68.98,,,,,,,,,59.0,,61.9,25.8,,19.18,29.43,28.09,1015.1,29.64,156.35,0.92,3.48,,,,,,,,,60.89,,,
Baniyas School,04/01/2023,16:00:00,4.66,,5.34,10.19,,63.48,116.08,,82.8,,,,,,,,,44.8,,61.9,25.5,,19.18,28.93,28.06,1014.8,29.18,82.03,0.53,3.48,,,,,,,,,60.48,,,
Baniyas School,04/01/2023,17:00:00,4.92,,5.34,21.85,,63.48,110.37,,95.83,,,,,,,,,43.3,,61.9,23.3,,19.18,26.6,26.42,1014.6,33.86,330.51,3.92,3.51,,,,,,,,,63.38,,,
Baniyas School,04/01/2023,18:00:00,4.59,,5.34,44.92,,63.48,85.13,,101.62,,,,,,,,,63.7,,61.9,18.9,,19.18,24.68,24.78,1014.8,37.89,338.88,3.28,3.67,,,,,,,,,59.88,,,
Baniyas School,04/01/2023,19:00:00,5.55,,5.34,68.95,,63.48,60.7,,99.28,,,,,,,,,88.6,,61.9,18.8,,19.18,23.89,24.29,1014.7,40.09,357.16,2.43,3.17,,,,,,,,,52.99,,,
Baniyas School,04/01/2023,20:00:00,5.41,,5.34,81.38,,63.48,48.35,,93.52,,,,,,,,,107.6,,61.9,19.9,,19.18,23.09,23.78,1015.2,41.71,346.38,1.62,2.8,,,,,,,,,55.37,,,
Baniyas School,04/01/2023,21:00:00,5.91,,5.34,115.88,,63.48,6.64,,80.98,,,,,,,,,108.2,,61.9,16.4,,19.18,22.23,23.19,1015.3,43.44,357.7,0.93,5.2,,,,,,,,,52.02,,,
Baniyas School,04/01/2023,22:00:00,6.14,,5.34,118.18,,63.48,5.5,,68.19,,,,,,,,,101.4,,61.9,17.6,,19.18,21.49,22.6,1015.1,45.96,359.97,0.53,5.37,,,,,,,,,51.96,,,
Baniyas School,04/01/2023,23:00:00,6.76,,5.34,110.59,,63.48,4.64,,54.68,,,,,,,,,97.0,,61.9,16.8,,19.18,20.98,22.05,1014.8,48.12,117.82,0.96,6.35,,,,,,,,,50.8,,,
